edinburgh london black,orange 4
london dieppe gray 2
brest dieppe orange 2
brest paris black 3
brest pamplona magenta 4
pamplona madrid black,white 3
lisboa madrid magenta 3
lisboa cádiz blue 2
madrid cádiz orange 3
madrid barcelona yellow 2
pamplona barcelona gray 2
london amsterdam gray 2
bruxelles amsterdam black 1
dieppe bruxelles green 2
dieppe paris magenta 1
paris bruxelles yellow,red 2
pamplona paris blue,green 4
amsterdam essen yellow 3
amsterdam frankfurt white 2
bruxelles frankfurt blue 2
paris frankfurt white,orange 3
paris zürich gray 3
paris marseille gray 4
pamplona marseille red 4
barcelona marseille gray 4
essen københavn gray 3
essen berlin blue 2
frankfurt essen green 2
frankfurt berlin black,red 3
frankfurt münchen magenta 2
zürich münchen yellow 2
zürich venezia green 2
marseille zürich magenta 2
marseille roma gray 4
københavn stockholm yellow,white 3
berlin danzig gray 3
danzig riga black 3
danzig warszawa gray 2
berlin warszawa magenta,yellow 4
berlin wien green 3
münchen wien orange 3
wien warszawa blue 4
wien budapest red,white 1
wien zágráb gray 2
venezia zágráb gray 2
venezia roma black 2
zágráb budapest orange 2
zágráb sarajevo red 3
budapest sarajevo magenta 3
roma brindisi white 2
roma palermo gray 4
palermo brindisi gray 4
sarajevo athína green 4
brindisi athína gray 4
stockholm petrograd gray 8
riga petrograd gray 4
riga wilno green 4
wilno petrograd blue 4
warszawa wilno red 3
wilno kyïv gray 2
warszawa kyïv gray 4
budapest kyïv gray 6
budapest bucuresti gray 4
bucuresti kyïv gray 4
sarajevo sofia gray 2
sofia bucuresti gray 2
athína sofia magenta 3
bucuresti constantinople yellow 3
sofia constantinople blue 3
athína smyrna gray 2
palermo smyrna gray 6
smyrna constantinople gray 2
petrograd moskva white 4
wilno smolensk yellow 3
smolensk moskva orange 2
wilno kyïv gray 2
kyïv smolensk red 3
kyïv kharkov gray 4
kharkov moskva gray 4
kharkov rostov green 2
bucuresti sevastopol white 4
sevastopol rostov gray 4
sevastopol sochi gray 2
sochi rostov gray 2
constantinople sevastopol gray 4
sevastopol erzurum gray 4
erzurum sochi red 3
constantinople angora gray 2
smyrna angora orange 3
angora erzurum black 3
